id,activity,localName,description,area,location,openingHours,duration,googleMapsLink,suitableFor,tags,rating,image,tips,notes,priceRange
LOM001,Gili Islands Hopping,Kepulauan Gili,"Three idyllic tropical islands offering pristine beaches, world-class snorkeling, and a laid-back atmosphere.",Lombok,"Gili Islands, Lombok",Flexible (boats 07:00-17:00),1-3 days,https://maps.google.com/?q=Gili+Islands+Lombok,"Beach Lovers, Snorkelers, Couples",#island #beach #snorkeling #diving #marine #tropical #boat #swimming #sunset,4.8/5,images/LOM001.jpg,Book round-trip boat; Bring reef-safe sunscreen,No motorized vehicles on islands,IDR 450000 - 750000
LOM002,Mount Rinjani Trek,Gunung Rinjani,"Challenging multi-day trek to the summit of Indonesia's second-highest volcano, offering stunning views and unique crater lake.",Lombok,"Rinjani National Park, Lombok",05:00-17:00 daily,2-3 days,https://maps.google.com/?q=Mount+Rinjani+National+Park,"Experienced Hikers, Adventure Seekers",#hiking #mountain #volcano #nature #adventure #trekking #camping #scenic #outdoor,4.7/5,,Book licensed guide; Physical fitness required,2-3 day trek recommended,IDR 2000000 - 4500000
LOM003,Tanjung Aan Beach,Pantai Tanjung Aan,Pristine crescent-shaped beach known for its unique pepper-sand texture and crystal-clear turquoise waters.,Lombok,"Kuta, Lombok",24 hours,3-4 hours,https://maps.google.com/?q=Tanjung+Aan+Beach,"Families, Beach Lovers, Photographers",#beach #nature #swimming #relax #scenic #sunset #photography #tropical #quiet,4.6/5,images/LOM003.jpg,Bring own supplies; Limited facilities,Best visited during dry season,IDR 15000 - 75000
JKT001,National Monument (MONAS),Monumen Nasional,"Towering 132m obelisk symbolizing Indonesia's struggle for independence, offering panoramic city views from its observation deck.",Jakarta,Central Jakarta,08:00-22:00 Tue-Sun,2-3 hours,https://maps.google.com/?q=Monas+Jakarta,"All Ages, History Buffs, Families",#historical #monument #museum #cultural #architecture #city #landmark #educational,4.5/5,,Visit early to avoid crowds; Bring ID,Closed Mondays,IDR 30000 - 75000
JKT002,Old Town (Kota Tua),Kota Tua Jakarta,"Historic Dutch colonial district featuring well-preserved architecture, museums, and vibrant street life.",Jakarta,North Jakarta,09:00-22:00 daily,3-4 hours,https://maps.google.com/?q=Kota+Tua+Jakarta,"History Buffs, Photographers, Foodies",#historical #colonial #architecture #cultural #museum #photography #food #shopping,4.3/5,images/JKT002.jpg,Visit museums early; Weekend food festivals,Best explored on foot,IDR 75000 - 300000
JKT003,Thousand Islands Trip,Kepulauan Seribu,"Archipelago of small islands north of Jakarta, offering beaches, resorts, and marine parks for day trips or longer stays.",Jakarta,North Jakarta,07:00-17:00 daily,Full day/Multi-day,https://maps.google.com/?q=Kepulauan+Seribu+Jakarta,"Families, Couples, Beach Lovers",#island #beach #resort #snorkeling #boat #weekend #family #romantic #marine,4.4/5,images/JKT003.jpg,Book boat early; Check weather,Some islands require permits,IDR 450000 - 1500000
YOG001,Borobudur Temple,Candi Borobudur,"World's largest Buddhist temple, a UNESCO World Heritage site featuring intricate stone carvings and stunning sunrise views.",Yogyakarta,"Magelang, Yogyakarta",06:00-17:00 daily,3-4 hours,https://maps.google.com/?q=Borobudur+Temple,"All Ages, Culture Lovers, Photographers",#temple #buddhist #UNESCO #sunrise #cultural #historical #architecture #spiritual #photography,4.8/5,images/YOG001.jpg,Sunrise tour recommended; Book in advance,Special passes for sunrise,IDR 350000 - 750000
YOG002,Kraton Palace,Keraton Ngayogyakarta,"Ornate Javanese royal palace complex showcasing traditional architecture, artifacts, and cultural performances.",Yogyakarta,Central Yogyakarta,08:30-14:00 daily,2-3 hours,https://maps.google.com/?q=Kraton+Yogyakarta,"Culture Enthusiasts, History Buffs",#palace #cultural #historical #javanese #architecture #royal #traditional #dance #art,4.4/5,images/YOG002.jpg,Watch traditional performances; Dress modestly,Guided tours available,IDR 15000 - 150000
YOG003,Malioboro Street,Jalan Malioboro,"Bustling shopping street famous for traditional crafts, street food, and lively atmosphere.",Yogyakarta,Central Yogyakarta,09:00-21:00 daily,2-4 hours,https://maps.google.com/?q=Malioboro+Street+Yogyakarta,"Shoppers, Foodies, Culture Lovers",#shopping #market #food #street #cultural #souvenir #local #nightlife #batik,4.5/5,images/YOG003.jpg,Bargain prices; Best at night,Try street food,IDR 75000 - 750000
SBY001,House of Sampoerna,Rumah Sampoerna,Beautifully preserved Dutch colonial building housing a tobacco museum and handmade cigarette production facility.,Surabaya,Surabaya,09:00-18:00 daily,1-2 hours,https://maps.google.com/?q=House+of+Sampoerna+Surabaya,"History Buffs, Architecture Lovers",#museum #historical #colonial #architecture #cultural #educational #indoor #heritage,4.6/5,images/SBY001.jpg,Free guided tours; Watch cigarette rolling,Photography allowed,Free
SBY002,Submarine Monument,Monumen Kapal Selam,"Decommissioned Soviet-built submarine turned into a unique museum, offering insights into naval history.",Surabaya,Surabaya,08:00-21:00 daily,1-2 hours,https://maps.google.com/?q=Submarine+Monument+Surabaya,"Families, History Buffs, Military Enthusiasts",#museum #military #historical #educational #family #unique #indoor #maritime #photography,4.4/5,images/SBY002.jpg,Visit early morning; Small space inside,Historical importance,IDR 30000 - 75000
SBY003,Tunjungan Plaza,TP Mall,"Largest shopping complex in East Java, featuring international brands, dining options, and entertainment facilities.",Surabaya,Central Surabaya,10:00-22:00 daily,2-5 hours,https://maps.google.com/?q=Tunjungan+Plaza+Surabaya,"Families, Shoppers, Mall Lovers",#shopping #mall #modern #food #entertainment #indoor #family #luxury #retail,4.5/5,images/SBY003.jpg,Visit during weekdays; Many food options,Air-conditioned comfort,Varies
BAL011,Tirta Empul Temple,Pura Tirta Empul,Ancient water temple with holy spring pools used for ritual purification and blessings.,Bali,"Tampaksiring, Bali",07:00-18:00 daily,2-3 hours,https://maps.google.com/?q=Tirta+Empul+Temple,"Culture Seekers, Spiritual Travelers",#temple #water #spiritual #cultural #historical #ritual #hindu,4.7/5,images/BAL011.jpg,Bring sarong; Participate in ritual,Respect sacred site,IDR 50000 - 150000
BAL012,Jatiluwih Rice Terraces,Subak Jatiluwih,UNESCO-listed site showcasing Bali's ancient and intricate rice terrace irrigation system amidst stunning landscapes.,Bali,"Tabanan, Bali",08:00-18:00 daily,2-4 hours,https://maps.google.com/?q=Jatiluwih+Rice+Terraces,"Photographers, Nature Lovers",#UNESCO #nature #agriculture #hiking #photography #cultural #scenic,4.8/5,images/BAL012.jpg,Morning light best for photos,Less crowded than Tegalalang,IDR 40000 - 100000
BAL013,Bali ATV Adventure,Kuber ATV Adventure,"Exhilarating off-road tour through rice fields, jungles, and traditional villages on all-terrain vehicles.",Bali,"Ubud, Bali",08:00-17:00 daily,2-3 hours,https://maps.google.com/?q=Kuber+ATV,"Adventure Seekers, Thrill Lovers",#adventure #ATV #outdoor #action #nature #fun #activity,4.6/5,images/BAL013.jpg,Wear clothes you can get dirty,Different trail options,IDR 600000 - 1200000
BAL014,GWK Cultural Park,Garuda Wisnu Kencana,"Vast cultural park featuring a colossal statue of Vishnu riding Garuda, along with traditional performances and panoramic views.",Bali,"Jimbaran, Bali",08:00-21:00 daily,2-4 hours,https://maps.google.com/?q=GWK+Cultural+Park,"Families, Culture Lovers",#cultural #statue #performance #architecture #art #modern #landmark,4.5/5,images/BAL014.jpg,Watch cultural performances,Restaurant options available,IDR 125000 - 275000
BAL015,Seminyak Art Galleries,Galeri Seni Seminyak,Trendy district showcasing contemporary Balinese and international art across multiple galleries.,Bali,"Seminyak, Bali",10:00-19:00 daily,2-3 hours,https://maps.google.com/?q=Seminyak+Art+Galleries,"Art Lovers, Collectors",#art #gallery #modern #culture #shopping #contemporary #creative,4.4/5,,Gallery hopping route available,Some galleries free entry,IDR 0 - 500000
LOM007,Benang Kelambu Waterfall,Air Terjun Benang Kelambu,"Picturesque twin waterfalls cascading through lush forest, offering a refreshing natural pool for swimming.",Lombok,Central Lombok,07:00-17:00 daily,2-3 hours,https://maps.google.com/?q=Benang+Kelambu+Waterfall,"Nature Lovers, Hikers",#waterfall #nature #hiking #adventure #photography #outdoor,4.7/5,images/LOM007.jpg,Morning visit recommended,Short hike required,IDR 20000 - 75000
LOM008,Gili Nanggu Snorkeling,Pulau Gili Nanggu,"Secluded island with pristine coral reefs and diverse marine life, perfect for snorkeling and relaxation.",Lombok,Southwest Lombok,08:00-17:00 daily,Full day,https://maps.google.com/?q=Gili+Nanggu,"Snorkelers, Nature Lovers",#snorkeling #beach #marine #coral #nature #swimming #island,4.8/5,images/LOM008.jpg,Bring own gear; Book boat early,Less crowded than Gili Islands,IDR 350000 - 750000
LOM009,Sukarara Village,Desa Sukarara,Traditional village renowned for its intricate hand-woven textiles and cultural demonstrations.,Lombok,Central Lombok,08:00-17:00 daily,2-3 hours,https://maps.google.com/?q=Sukarara+Village,"Culture Enthusiasts, Shoppers",#weaving #cultural #craft #shopping #traditional #art #local,4.6/5,images/LOM009.jpg,Watch weaving demonstrations,Quality textiles available,IDR 50000 - 500000
LOM010,Sendang Gile Waterfall,Air Terjun Sendang Gile,"Impressive two-tiered waterfall at the foot of Mount Rinjani, accessible via a short trek through lush forest.",Lombok,"Senaru, Lombok",06:00-18:00 daily,1-2 hours,https://maps.google.com/?q=Sendang+Gile+Waterfall,"Nature Lovers, Families",#waterfall #nature #hiking #photography #outdoor #family,4.7/5,images/LOM010.jpg,Easy access first tier,Local guide available,IDR 10000 - 50000
JKT007,Museum MACAN,Museum of Modern Art,Indonesia's first world-class modern and contemporary art museum featuring rotating exhibitions of local and international artists.,Jakarta,West Jakarta,10:00-18:00 Tue-Sun,2-3 hours,https://maps.google.com/?q=Museum+MACAN,"Art Lovers, Families",#art #museum #modern #cultural #contemporary #indoor #educational,4.7/5,images/JKT007.jpg,Book online; Check exhibitions,Closed Mondays,IDR 100000 - 150000
JKT008,Pasar Baru,Pasar Baru Market,"Historic shopping street dating back to 1820, offering a mix of traditional textiles, modern fashion, and local cuisine.",Jakarta,Central Jakarta,10:00-18:00 daily,2-3 hours,https://maps.google.com/?q=Pasar+Baru,"Shoppers, History Buffs",#shopping #market #historical #cultural #local #traditional #food,4.4/5,images/JKT008.jpg,Bargaining expected,Traditional textiles available,IDR 50000 - unlimited
JKT009,Ragunan Zoo,Kebun Binatang Ragunan,"Expansive zoo housing a diverse collection of Indonesian wildlife in a lush, park-like setting.",Jakarta,South Jakarta,06:00-17:00 daily,3-4 hours,https://maps.google.com/?q=Ragunan+Zoo,"Families, Nature Lovers",#zoo #wildlife #family #nature #outdoor #education #animals,4.3/5,images/JKT009.jpg,Visit early morning,Bring water and snacks,IDR 4000 - 50000
JKT010,Planetarium Jakarta,Planetarium dan Observatorium Jakarta,Educational facility offering immersive sky shows and astronomical exhibits.,Jakarta,Central Jakarta,08:00-16:00 Tue-Sun,1-2 hours,https://maps.google.com/?q=Planetarium+Jakarta,"Families, Students",#science #education #family #indoor #astronomy #modern,4.4/5,images/JKT010.jpg,Check show schedule,Closed Mondays,IDR 15000 - 50000
YOG007,Merapi Volcano Tour,Wisata Merapi,"Thrilling jeep tour exploring the landscapes shaped by Mount Merapi's eruptions, including lava fields and destroyed villages.",Yogyakarta,"Sleman, Yogyakarta",05:00-17:00 daily,3-4 hours,https://maps.google.com/?q=Merapi+Volcano,"Adventure Seekers, Nature Lovers",#volcano #jeep #adventure #nature #outdoor #photography #geological,4.7/5,images/YOG007.jpg,Early morning best,Multiple tour options,IDR 350000 - 750000
YOG008,Kotagede Silver,Perak Kotagede,"Historic district famous for its skilled silversmiths, traditional Javanese architecture, and royal cemetery.",Yogyakarta,"Kotagede, Yogyakarta",09:00-17:00 daily,2-3 hours,https://maps.google.com/?q=Kotagede,"Shoppers, Culture Lovers",#silver #craft #shopping #cultural #traditional #art #historical,4.6/5,images/YOG008.jpg,Watch craftsmen work,Custom orders possible,IDR 100000 - unlimited
YOG009,Timang Beach,Pantai Timang,Remote beach featuring a thrilling traditional gondola crossing to a small offshore island.,Yogyakarta,Gunung Kidul,07:00-17:00 daily,2-3 hours,https://maps.google.com/?q=Timang+Beach,"Adventure Seekers, Photographers",#beach #adventure #unique #traditional #scenic #photography #ocean,4.6/5,images/YOG009.jpg,Try gondola crossing,Local seafood available,IDR 50000 - 200000
YOG010,Pindul Cave Tubing,Goa Pindul,Exciting underground river tubing experience through a limestone cave system.,Yogyakarta,Gunung Kidul,08:00-16:00 daily,2-3 hours,https://maps.google.com/?q=Pindul+Cave,"Adventure Seekers, Nature Lovers",#cave #tubing #adventure #nature #water #unique #outdoor,4.7/5,images/YOG010.jpg,Bring change of clothes,Equipment provided,IDR 100000 - 250000
YOG011,Ullen Sentalu Museum,Museum Ullen Sentalu,"Elegant museum showcasing Javanese royal heritage, art, and culture in a misty mountain setting.",Yogyakarta,"Kaliurang, Yogyakarta",08:30-16:00 Tue-Sun,1-2 hours,https://maps.google.com/?q=Ullen+Sentalu+Museum,"Culture Enthusiasts, History Buffs",#museum #cultural #royal #javanese #art #historical #education,4.8/5,images/YOG011.jpg,Guided tours only,Photography restricted,IDR 50000 - 100000
YOG012,Kasongan Pottery Village,Desa Wisata Kasongan,Artisan village renowned for its traditional and contemporary pottery crafts.,Yogyakarta,"Bantul, Yogyakarta",08:00-17:00 daily,2-3 hours,https://maps.google.com/?q=Kasongan+Village,"Art Lovers, Shoppers",#pottery #craft #cultural #shopping #traditional #art #village,4.5/5,images/YOG012.jpg,Watch pottery making,Shipping available,IDR 0 - 500000
SBY007,Suroboyo Night Carnival,Carnival Night Market,"Modern entertainment complex featuring rides, games, and a diverse array of food stalls.",Surabaya,East Surabaya,16:00-24:00 daily,3-4 hours,https://maps.google.com/?q=Suroboyo+Night+Carnival,"Families, Food Lovers",#carnival #food #entertainment #family #night #modern #fun,4.4/5,images/SBY007.jpg,Evening visit best,Many food options,IDR 25000 - 200000
SBY008,Kampung Lawas Maspati,Kampung Lawas,Well-preserved historic neighborhood showcasing traditional architecture and local community life.,Surabaya,Central Surabaya,09:00-17:00 daily,2-3 hours,https://maps.google.com/?q=Kampung+Lawas+Maspati,"History Buffs, Photographers",#historical #cultural #colonial #architecture #local #photography,4.6/5,,Local guide recommended,Community-based tourism,IDR 25000 - 75000
SBY009,Pasar Atom Shopping,Pasar Atom,Massive traditional market complex offering a wide range of goods at bargain prices.,Surabaya,North Surabaya,10:00-21:00 daily,3-4 hours,https://maps.google.com/?q=Pasar+Atom,"Shoppers, Budget Travelers",#shopping #market #local #traditional #retail #food #bargain,4.3/5,,Bargaining expected,Local shopping experience,IDR 50000 - unlimited
BAL016,Blue Lagoon Snorkeling,Blue Lagoon Padangbai,"Protected bay with vibrant coral gardens and diverse marine life, ideal for snorkeling and swimming.",Bali,"Padangbai, Bali",07:00-17:00 daily,3-4 hours,https://maps.google.com/?q=Blue+Lagoon+Padangbai,"Snorkelers, Families",#snorkeling #beach #marine #nature #family #swimming #fish,4.7/5,images/BAL016.jpg,Morning snorkeling best,Equipment rental available,IDR 150000 - 400000
BAL017,Ubud Art Market,Pasar Seni Ubud,"Colorful traditional market offering a wide array of Balinese handicrafts, textiles, and souvenirs.",Bali,"Ubud, Bali",08:00-18:00 daily,2-3 hours,https://maps.google.com/?q=Ubud+Art+Market,"Shoppers, Art Lovers",#market #shopping #art #craft #traditional #cultural #souvenir,4.4/5,images/BAL017.jpg,Bargain early morning,Cash only,IDR 50000 - unlimited
BAL018,Bali Bird Park,Taman Burung Bali,Lush aviary park showcasing over 250 species of exotic birds in naturalistic habitats.,Bali,"Gianyar, Bali",09:00-17:30 daily,2-3 hours,https://maps.google.com/?q=Bali+Bird+Park,"Families, Nature Lovers",#birds #wildlife #family #nature #education #photography #zoo,4.6/5,images/BAL018.jpg,Watch bird shows,Photo opportunities,IDR 200000 - 450000
LOM011,Pusuk Monkey Forest,Hutan Pusuk,"Natural forest habitat home to playful long-tailed macaques, offering scenic views of the surrounding landscape.",Lombok,West Lombok,07:00-18:00 daily,1-2 hours,https://maps.google.com/?q=Pusuk+Monkey+Forest,"Nature Lovers, Families",#monkey #forest #nature #wildlife #photography #scenic,4.5/5,images/LOM011.jpg,Don't feed monkeys,Brief stop on way to Bangsal,IDR 10000 - 50000
LOM012,Desert Point Surfing,Bangko Bangko,"Legendary left-hand surf break known for its long, barreling waves, attracting experienced surfers worldwide.",Lombok,Southwest Lombok,06:00-18:00 daily,3-4 hours,https://maps.google.com/?q=Desert+Point+Lombok,Professional Surfers,#surfing #waves #ocean #sport #advanced #adventure,4.8/5,images/LOM012.jpg,For experienced surfers,Remote location,IDR 100000 - 300000
JKT011,Sunda Kelapa Port,Pelabuhan Sunda Kelapa,Historic harbor showcasing traditional Phinisi schooners and Jakarta's maritime heritage.,Jakarta,North Jakarta,08:00-18:00 daily,2-3 hours,https://maps.google.com/?q=Sunda+Kelapa+Port,"History Buffs, Photographers",#port #historical #maritime #photography #cultural #traditional,4.5/5,images/JKT011.jpg,Morning light best,Guide recommended,IDR 20000 - 100000
JKT012,Plaza Indonesia,Plaza Indonesia,"Upscale shopping mall featuring luxury brands, fine dining, and entertainment options in the heart of Jakarta.",Jakarta,Central Jakarta,10:00-22:00 daily,3-4 hours,https://maps.google.com/?q=Plaza+Indonesia,"Luxury Shoppers, Foodies",#shopping #luxury #dining #fashion #modern #entertainment,4.7/5,images/JKT012.jpg,Valet parking available,High-end brands,IDR 100000 - unlimited
SBY010,Surabaya North Quay,North Quay,"Modern waterfront promenade offering dining, shopping, and entertainment with harbor views.",Surabaya,North Surabaya,10:00-22:00 daily,2-3 hours,https://maps.google.com/?q=Surabaya+North+Quay,"Families, Couples",#waterfront #modern #entertainment #dining #sunset #relaxation,4.5/5,,Evening visit recommended,Many photo spots,IDR 50000 - 200000
SBY011,Tunjungan Heritage Area,Kawasan Heritage Tunjungan,Historic district featuring well-preserved Dutch colonial architecture and important landmarks.,Surabaya,Central Surabaya,24 hours,2-3 hours,https://maps.google.com/?q=Tunjungan+Heritage,"History Buffs, Photographers",#heritage #historical #architecture #colonial #photography #cultural,4.5/5,,Morning photography best,Walking tour recommended,IDR 0 - 100000
SBY012,Pakuwon Mall,Pakuwon Mall,"Largest shopping complex in Indonesia, offering a vast array of retail, dining, and entertainment options.",Surabaya,West Surabaya,10:00-22:00 daily,3-5 hours,https://maps.google.com/?q=Pakuwon+Mall,"Shoppers, Families",#shopping #mall #modern #entertainment #dining #retail #family,4.6/5,images/SBY012.jpg,Weekend crowds expected,Connected to hotels,IDR 50000 - unlimited
SBY013,Mangrove Wonorejo,Ekowisata Mangrove,Coastal mangrove forest conservation area offering boardwalk trails and boat tours.,Surabaya,East Surabaya,08:00-16:00 daily,2-3 hours,https://maps.google.com/?q=Mangrove+Wonorejo,"Nature Lovers, Photographers",#mangrove #nature #eco #conservation #photography #outdoor,4.4/5,images/SBY013.jpg,Morning boat tours,Educational center available,IDR 25000 - 100000
BAL019,Bali Swing Adventure,Ayunan Bali,Thrilling giant swing experiences offering panoramic views over lush valleys and rice terraces.,Bali,"Ubud, Bali",08:00-17:00 daily,2-3 hours,https://maps.google.com/?q=Bali+Swing,"Adventure Seekers, Photographers",#swing #adventure #photography #scenic #instagram #nature,4.6/5,,Book early morning,Multiple swing options,IDR 250000 - 500000
BAL020,Ubud Yoga Barn,The Yoga Barn,Yoga and wellness center in rice fields,Bali,"Ubud, Bali",07:00-21:00 daily,1-3 hours,https://maps.google.com/?q=Yoga+Barn+Ubud,"Wellness Seekers, Yoga Enthusiasts",#yoga #wellness #meditation #spiritual #health #relaxation,4.8/5,images/BAL020.jpg,Book classes online,Multiple class styles,IDR 150000 - 350000
BAL021,Mason Elephant Park,Taro Elephant Safari,Elephant sanctuary and education center,Bali,"Taro, Bali",09:00-17:00 daily,2-4 hours,https://maps.google.com/?q=Mason+Elephant+Park,"Families, Animal Lovers",#elephant #wildlife #sanctuary #family #education #nature,4.7/5,images/BAL021.jpg,Book feeding experience,Ethical elephant care,IDR 350000 - 950000
LOM013,Pergasingan Hill Trek,Bukit Pergasingan,Panoramic hilltop trek,Lombok,"Sembalun, Lombok",05:00-18:00 daily,3-4 hours,https://maps.google.com/?q=Bukit+Pergasingan,"Hikers, Photographers",#hiking #trekking #nature #sunrise #photography #mountain,4.7/5,images/LOM013.jpg,Sunrise trek recommended,Guide available,IDR 100000 - 300000
LOM014,Mayura Water Palace,Taman Mayura,Historic royal water garden,Lombok,"Mataram, Lombok",08:00-18:00 daily,1-2 hours,https://maps.google.com/?q=Mayura+Water+Palace,"History Buffs, Culture Lovers",#historical #palace #garden #cultural #architecture #royal,4.4/5,images/LOM014.jpg,Morning visit best,Historical significance,IDR 10000 - 50000
LOM015,Bangsal Harbor,Pelabuhan Bangsal,Traditional port for Gili Islands,Lombok,North Lombok,07:00-17:00 daily,1-2 hours,https://maps.google.com/?q=Bangsal+Harbor,"Island Hoppers, Travelers",#port #boat #transport #island #travel #local,4.3/5,images/LOM015.jpg,Book official tickets only,Public boat schedule available,IDR 20000 - 100000
JKT013,Jakarta Aquarium,Seaworld Ancol,Modern aquarium and marine life center,Jakarta,North Jakarta,10:00-18:00 daily,2-3 hours,https://maps.google.com/?q=Jakarta+Aquarium,"Families, Marine Enthusiasts",#aquarium #marine #family #education #entertainment #indoor,4.6/5,,Weekend crowds expected,Interactive exhibits,IDR 150000 - 300000
JKT014,Menteng Park,Taman Menteng,Urban park in colonial district,Jakarta,Central Jakarta,06:00-21:00 daily,1-2 hours,https://maps.google.com/?q=Taman+Menteng,"Locals, Families",#park #urban #recreation #outdoor #sports #relaxation,4.4/5,images/JKT014.jpg,Morning exercise popular,Free sports facilities,IDR 0 - 50000
JKT015,Museum Bank Indonesia,Museum BI,Money and economic history museum,Jakarta,West Jakarta,08:30-15:30 Tue-Sun,2-3 hours,https://maps.google.com/?q=Museum+Bank+Indonesia,"History Buffs, Students",#museum #history #education #cultural #colonial #architecture,4.7/5,images/JKT015.jpg,Guided tours available,Closed Mondays,Free
YOG013,Kalibiru National Park,Taman Nasional Kalibiru,Treetop platforms with mountain views,Yogyakarta,Kulon Progo,07:00-17:00 daily,2-3 hours,https://maps.google.com/?q=Kalibiru+National+Park,"Photographers, Nature Lovers",#nature #photography #viewpoint #adventure #forest #scenic,4.6/5,images/YOG013.jpg,Morning visit recommended,Multiple photo spots,IDR 20000 - 100000
YOG014,Tempo Gelato,Gelato Artisan,Artisanal gelato with local flavors,Yogyakarta,Central Yogyakarta,10:00-22:00 daily,1 hour,https://maps.google.com/?q=Tempo+Gelato,"Foodies, Families",#food #dessert #local #modern #family #culinary,4.8/5,images/YOG014.jpg,Try unique flavors,Air-conditioned seating,IDR 30000 - 100000
YOG015,Vredeburg Fort,Benteng Vredeburg,Dutch colonial fort museum,Yogyakarta,Central Yogyakarta,08:00-16:00 Tue-Sun,2-3 hours,https://maps.google.com/?q=Benteng+Vredeburg,"History Buffs, Museum Lovers",#museum #historical #colonial #cultural #education #architecture,4.5/5,images/YOG015.jpg,Diorama exhibitions,Closed Mondays,IDR 3000 - 10000
